observation_date,AZSTHPI_20181127,CASTHPI_20181127,COSTHPI_20181127,DCSTHPI_20181127,FLSTHPI_20181127,GASTHPI_20181127,ILSTHPI_20181127,MASTHPI_20181127,MISTHPI_20181127,MNSTHPI_20181127,NCSTHPI_20181127,NVSTHPI_20181127,NYSTHPI_20181127,OHSTHPI_20181127,ORSTHPI_20181127,TXSTHPI_20181127,WASTHPI_20181127
1993-04-01,143.10,217.52,153.45,193.47,163.28,170.10,186.82,283.95,162.41,152.90,173.88,161.48,289.19,161.24,161.60,126.94,198.10
1993-07-01,144.25,215.67,157.75,194.03,164.51,171.22,188.75,284.97,163.85,154.83,175.67,162.82,288.27,163.17,165.45,128.43,200.80
1993-10-01,146.15,214.37,161.61,194.45,166.20,172.52,190.41,286.69,165.24,156.47,177.13,163.82,289.40,165.12,168.99,129.69,203.13
1994-01-01,148.12,212.24,166.50,195.95,165.96,173.02,193.09,286.90,167.11,157.41,178.65,163.97,286.12,167.04,173.25,130.37,205.65
1994-04-01,150.18,207.14,173.84,188.45,164.83,174.08,195.84,284.08,169.92,160.22,181.36,164.67,282.33,169.78,179.35,130.71,209.46
1994-07-01,151.85,204.08,178.49,188.57,165.07,174.66,197.47,283.83,173.26,161.43,183.78,165.48,280.82,170.73,183.90,130.76,210.75
1994-10-01,153.74,201.05,179.51,181.79,164.95,175.40,197.83,281.55,175.41,162.06,185.95,165.00,275.66,172.24,187.13,130.11,210.29
1995-01-01,155.56,199.76,183.08,184.68,165.63,176.33,199.84,283.17,178.53,163.55,187.49,166.10,274.41,173.18,190.95,130.23,212.34
1995-04-01,158.37,201.61,186.69,183.54,167.63,179.67,202.71,288.49,182.03,166.68,190.07,169.61,279.03,176.50,195.66,132.49,214.92
1995-07-01,161.39,203.90,190.46,188.17,170.93,182.13,205.13,293.16,185.31,169.69,193.26,172.18,283.63,179.59,200.54,134.05,217.88
1995-10-01,163.25,203.62,193.39,191.82,172.32,184.86,207.02,294.79,188.44,171.86,195.17,173.71,282.84,181.81,203.86,135.00,219.55
